Item Type,Description,Date,Qty,UOM,Total Price,Price per UOM,Estimated Per-Unit Price
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Large Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",4/1/2025 0:00,1,BX,$5.40,$5.40,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Large Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",5/29/2025 0:00,20,CA,$1084.80,$54.24,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Medium Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",4/1/2025 0:00,1,BX,$5.40,$5.40,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Medium Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",6/3/2025 0:00,56,CA,$3024.50,$54.01,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Small Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",4/1/2025 0:00,1,BX,$5.40,$5.40,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Small Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",4/22/2025 0:00,15,CA,$805.90,$53.73,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Large Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",1/23/2025 0:00,1,CA,$54.30,$54.30,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Medium Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",6/11/2025 0:00,31,CA,$1680.00,$54.19,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Small Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",10/15/2024 0:00,1,CA,$54.30,$54.30,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves X-Large Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",11/21/2024 0:00,3,CA,$133.70,$44.57,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Medium Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",5/20/2025 0:00,15,CA,$807.80,$53.85,Unknown
Criterion Gloves,"Criterion N100 Nitrile Exam Gloves Small Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",8/28/2024 0:00,5,CA,$271.50,$54.30,Unknown
Gauze Sponges,"Telfa Ouchless Cotton Gauze Dressing 3x4"" Sterile Non-Adherent White Absorbent Not Made With Natural",4/22/2025 0:00,5,BX,$52.20,$10.44,Need to calculate
Gauze Sponges,"Henry Schein 100% Cotton All-Gauze Sponge 4x4"" 12 Ply Non-Sterile Square Not Made With Natural Rubbe",6/11/2025 0:00,32,CA,$1701.60,$53.17,Need to calculate
Gauze Sponges,"Henry Schein 100% Cotton All-Gauze Sponge 4x4"" 12 Ply Non-Sterile Square Not Made With Natural Rubbe",3/13/2025 0:00,1,PK,$6.02,$6.02,Need to calculate
Gauze Sponges,"Advantage 100% Cotton Gauze Sponge 4x4"" 12 Ply Non-Sterile Woven Not Made With Natural Rubber Latex",1/21/2025 0:00,4,CA,$196.76,$49.19,Need to calculate
Gauze Sponges,"Henry Schein Premium 100% Cotton All-Gauze Sponge 2x2"" 8 Ply Non-Sterile Square Not Made With Natura",5/8/2025 0:00,29,PK,$37.59,$1.30,Need to calculate
Gauze Sponges,"100% Cotton Woven Gauze Sponge 4x4"" 8 Ply Non-Sterile Not Made With Natural Rubber Latex",6/11/2025 0:00,80,PK,$319.88,$4.00,Need to calculate
Gauze Sponges,"Henry Schein Premium 100% Cotton All-Gauze Sponge 2x2"" 8 Ply Non-Sterile Square Not Made With Natura",6/3/2025 0:00,9,CA,$278.25,$30.92,Need to calculate
Gauze Sponges,"Henry Schein Premium 100% Cotton All-Gauze Sponge 2x2"" 8 Ply Non-Sterile Square Not Made With Natura",6/11/2025 0:00,97,PK,$124.78,$1.29,Need to calculate
Gauze Sponges,"Henry Schein 100% Cotton All-Gauze Sponge 2x2"" 12 Ply Non-Sterile Square Not Made With Natural Rubbe",1/7/2025 0:00,8,PK,$10.40,$1.30,Need to calculate
Gauze Sponges,"Henry Schein 100% Cotton All-Gauze Sponge 4x4"" 12 Ply Non-Sterile Square Not Made With Natural Rubbe",3/31/2025 0:00,13,CA,$692.00,$53.23,Need to calculate
Gauze Sponges,"Advantage 100% Cotton Gauze Sponge 4x4"" 12 Ply Non-Sterile Woven Not Made With Natural Rubber Latex",6/10/2025 0:00,4,CA,$222.80,$55.70,Need to calculate
Gauze Sponges,"Henry Schein 100% Cotton All-Gauze Sponge 4x4"" 12 Ply Non-Sterile Square Not Made With Natural Rubbe",4/17/2025 0:00,1,CA,$55.40,$55.40,Need to calculate
